LTE NE NAME,ETHPORT CN,ETHPORT SRN,ETHPORT SN,ETHPORT SBT,ETHPORT PN,ETHPORT PA,ETHPORT MTU,ETHPORT SPEED,ETHPORT DUPLEX,ETHPORT ARPPROXY,ETHPORT FC,ETHPORT FERAT,ETHPORT FERDT,ETHPORT RXBCPKTALMOCRTHD,ETHPORT RXBCPKTALMCLRTHD,ETHPORT USERLABEL,ETHPORT FIBERSPEEDMATCH,ETHPORT AUTOCFGFLAG
LCAIW30336,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LSINS36724,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE14043,0,0,7,BASE_BOARD,1,FIBER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELM24191,0,0,7,BASE_BOARD,1,FIBER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LSINS16622,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELM24135,0,0,7,BASE_BOARD,1,FIBER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LSINS16217,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELW14501,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE34147,0,0,7,BASE_BOARD,1,FIBER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELM24197,0,0,7,BASE_BOARD,0,COPPER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LSINS16256,0,0,7,BASE_BOARD,1,FIBER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE14026,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE14026,0,0,7,BASE_BOARD,0,COPPER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELW34616,0,0,7,BASE_BOARD,1,FIBER,1000,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LSINS16248,0,0,7,BASE_BOARD,1,FIBER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LSINS16249,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LCAIG22575,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE37326,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELM17046,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LSINS16202,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LSINS16202,0,0,7,BASE_BOARD,0,COPPER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELM14747,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE24784,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE24784,0,0,7,ETH_COVERBOARD,0,FIBER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELM24267,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
